Method,Best_k,Best_Score
f_classif,30,0.7860342555994729
mutual_info,15,0.7955204216073781
random_forest,25,0.7924901185770751
correlation,20,0.7935441370223979
lasso,25,0.7903820816864295
rfe,10,0.7974967061923584
ttest,10,0.7985507246376811
elastic_net,20,0.7981554677206851
svm,30,0.796969696969697
gradient_boosting,30,0.7919631093544136
